id,name,gender,age,degree,stream,college_name,placement_status,salary,gpa,years_of_experience,10th %,SSC Board,12th %,HSC Board,12th Stream,specialisation,Mtech/MS
1,John Doe,Male,25,Bachelor's,Computer Science,Harvard University,Placed,60000,3.7,2,67,Others,91,Others,Science,Mkt&HR,58.8
2,Jane Smith,Female,24,Bachelor's,Electrical Engineering,Massachusetts Institute of Technology,Placed,65000,3.6,1,79.33,Central,78.33,Others,Science,Mkt&Fin,66.28
3,Michael Johnson,Male,26,Bachelor's,Mechanical Engineering,Stanford University,Placed,58000,3.8,3,65,Central,68,Central,Science,Mkt&Fin,57.8
4,Emily Davis,Female,23,Bachelor's,Information Technology,Yale University,Not Placed,0,3.5,2,56,Central,52,Central,Science,Mkt&HR,59.43
5,David Brown,Male,24,Bachelor's,Computer Science,Princeton University,Placed,62000,3.9,2,85.8,Central,73.6,Central,Science,Mkt&Fin,55.5
6,Sarah Wilson,Female,25,Bachelor's,Electronics and Communication,Columbia University,Placed,63000,3.7,1,55,Others,49.8,Others,Science,Mkt&Fin,51.58
7,James Martinez,Male,26,Bachelor's,Information Technology,California Institute of Technology,Placed,59000,3.8,3,46,Others,49.2,Others,Science,Mkt&Fin,53.29
8,Emma Garcia,Female,24,Bachelor's,Computer Science,University of Chicago,Not Placed,0,3.6,2,82,Central,64,Central,Science,Mkt&Fin,62.14
9,Alexander Taylor,Male,25,Bachelor's,Electrical Engineering,University of Pennsylvania,Placed,64000,3.7,2,73,Central,79,Central,Science,Mkt&Fin,61.29
10,Samantha Anderson,Female,23,Bachelor's,Mechanical Engineering,Northwestern University,Placed,57000,3.5,1,58,Central,70,Central,Science,Mkt&Fin,52.21
11,William Hernandez,Male,24,Bachelor's,Computer Science,Duke University,Placed,61000,3.9,2,58,Central,61,Central,Science,Mkt&HR,60.85
12,Ava Lopez,Female,25,Bachelor's,Electronics and Communication,Johns Hopkins University,Not Placed,0,3.8,3,69.6,Central,68.4,Central,Science,Mkt&Fin,63.7
13,Daniel Martinez,Male,26,Bachelor's,Information Technology,University of California--Berkeley,Placed,63000,3.7,2,47,Central,55,Others,Science,Mkt&HR,65.04
14,Mia Gonzalez,Female,24,Bachelor's,Computer Science,University of Michigan--Ann Arbor,Placed,64000,3.6,1,77,Central,87,Central,Science,Mkt&Fin,68.63
15,Alexander Rodriguez,Male,23,Bachelor's,Electrical Engineering,University of California--Los Angeles,Placed,66000,3.8,3,62,Central,47,Central,Science,Mkt&HR,54.96
